record_id,timestamp,study_id,extraction_id,citation,first_author,year,doi,country,n_countries,feedstock_category,specific_feedstock,feedstock_single_or_mixed,feedstock_composition,co_amendment,co_amendment_present,co_amendment_class,carbonization_method,carbonization_atmosphere,biochar_modification,modification_present,modification_class,pyrolysis_temp_c,pyrolysis_temp_min_c,pyrolysis_temp_max_c,pyrolysis_temp_reported,residence_time_min,residence_time_reported,particle_size,particle_size_max_mm,particle_size_class,biochar_ph,biochar_ph_sd,biochar_ph_reported,surface_area_m2_g,surface_area_sd,surface_area_reported,ash_content_pct,ash_content_sd,ash_content_reported,functional_groups,functional_groups_std,cec_cmolc_kg,cec_sd,cec_reported,cec_reported_for,experiment_type,soil_type,soil_type_class,contamination_source,target_metals,n_metals,initial_metal_concentration,soil_ph,soil_ph_sd,soil_ph_reported,biochar_application_rate,application_rate_pct_ww,application_rate_t_ha,soil_incubation,soil_incubation_days,plant_growth_period,plant_growth_days,experimental_duration,experimental_duration_days,leafy_vegetable_species,species_common,species_scientific,n_species,edible_part,soil_bioavailability_method,bioavailability_method_std,change_in_soil_bioavailability,plant_metal_conc_control,plant_metal_conc_treated,change_in_plant_metal_uptake,bcf,baf,tf,hq,hi,cr,bcf_reported,baf_reported,tf_reported,health_risk_reported,immobilization_mechanism,mechanism_std,main_findings,randomization_reported,replication_reported,control_treatment_present,biochar_characterization_adequate,statistical_analysis_reported,overall_risk_of_bias,reviewer_initials
85,2026-07-08 13:16:31,68,68-1,Turan (2020 2020,Turan,2020,10.1016/j.chemosphere.2019.125611,Turkey,1,Shell,Pistachio shell,Single,Pistachio shell,None,No,None,Slow pyrolysis,Oxygen-limited,None,No,None,350,350,350,350,,NR,NR,,NR,9.72,,9.72,,,NR,,,NR,NR,NR,26.4,,26.4,biochar,Pot,Agricultural soil,Agricultural,Artificially spiked,Pb,1,600 mg Pb /kg,5.73,,5.73,2% (40 g /pot),2,,6 weeks,42,60 days,60,~102 days,102,Spinach (Spinacia oleracea),Spinach,Spinacia oleracea,1,Shoot (leaves),DTPA extraction + ICP-MS,DTPA,reduced by 48%,Shoot 120.57 mg /kg; Root 336 mg /kg,Shoot ~58 mg /kg; Root ~168 mg /kg,Shoot reduced by 52%; Root reduced by 50%,NR,NR,NR,NR,NR,NR,No,No,No,No,"Increased soil pH and CEC, adsorption on biochar surfaces, ion exchange, surface complexation, and precipitation of Pb into stable mineral forms",Increased soil pH; Adsorption; Surface complexation; Ion exchange; Precipitation; Increased CEC,"Pistachio shell biochar effectively reduced Pb bioavailability and plant uptake while improving spinach growth, soil enzymatic activities, nutritional quality, and antioxidant defense",Yes,Yes,Yes,Yes,Yes,Very low,Oscar
86,2026-07-08 13:26:48,68,68-2,Turan (2020 2020,Turan,2020,10.1016/j.chemosphere.2019.125611,Turkey,1,Shell,Pistachio shell,Single,Pistachio shell,Dicalcium phosphate (1%),Yes,Phosphate mineral,Slow pyrolysis,Oxygen-limited,None,No,None,350,350,350,350,,NR,NR,,NR,9.72,,9.72,,,NR,,,NR,NR,NR,26.4,,26.4,biochar,Pot,Agricultural soil,Agricultural,Artificially spiked,Pb,1,600 mg Pb /kg,5.73,,5.73,1% BH + 1% DCP (20 g + 20 g /pot),1,,6 weeks,42,60 Days,60,~102 days,102,Spinach (Spinacia oleracea),Spinach,Spinacia oleracea,1,Shoot (leaves),DTPA extraction + ICP-MS,DTPA,reduced by 58%,Shoot 120.57 mg /kg; Root 336 mg /kg,Shoot 41.13 mg /kg; Root ~158 mg /kg,Shoot reduced by 66%; Root reduced by 53%,NR,NR,NR,NR,NR,NR,No,No,No,No,"Increased soil pH, adsorption onto biochar surfaces, ion exchange, surface complexation, and precipitation of Pb as stable phosphate minerals (pyromorphite) promoted by dicalcium phosphate",Increased soil pH; Adsorption; Surface complexation; Ion exchange; Precipitation; Phosphate precipitation,"The combination of pistachio shell biochar and dicalcium phosphate provided the greatest Pb immobilization, reducing Pb bioavailability and plant uptake while markedly improving spinach growth, soil enzymatic activities, nutritional quality, and antioxidant defense",Yes,Yes,Yes,Yes,Yes,Very low,Oscar
87,2026-07-08 13:35:57,68,68-3,Turan (2020 2020,Turan,2020,10.1016/j.chemosphere.2019.125611,Turkey,1,Shell,Pistachio shell,Single,Pistachio shell,Eggshell powder (1%),Yes,Mineral,Slow pyrolysis,Oxygen-limited,None,No,None,350,350,350,350,,NR,NR,,NR,9.72,,9.72,,,NR,,,NR,NR,NR,26.4,,26.4,biochar,Pot,Agricultural soil,Agricultural,Artificially spiked,Pb,1,600 mg Pb /kg,5.73,,5.73,1% BH + 1% ESP (20 g + 20 g /pot),1,,6 weeks,42,60 days,60,~102 days,102,Spinach (Spinacia oleracea),Spinach,Spinacia oleracea,1,Shoot (leaves),DTPA extraction + ICP-MS,DTPA,reduced by approximately 54%,Shoot 120.57 mg /kg; Root 336 mg /kg,Shoot ~46 mg /kg; Root ~165 mg /kg,Shoot reduced by 62%; Root reduced by 51%,NR,NR,NR,NR,NR,NR,No,No,No,No,"Increased soil pH, adsorption on biochar surfaces, ion exchange, surface complexation, and Ca-assisted precipitation of Pb promoted by eggshell-derived calcium carbonate together with biochar",Increased soil pH; Adsorption; Surface complexation; Ion exchange; Precipitation; Carbonate precipitation,"The combination of pistachio shell biochar and eggshell powder effectively reduced Pb bioavailability and plant uptake while improving spinach growth, antioxidant defense, nutritional quality, and soil enzymatic activities, with performance second only to the biochar-dicalcium phosphate treatment",Yes,Yes,Yes,Yes,Yes,Very low,Oscar
88,2026-07-08 10:54:59,71,71-1,Turan (2019 2019,Turan,2019,10.1016/j.ecoenv.2019.109594,Turkey,1,Shell,Pistachio shell,Single,Pistachio shell,None,No,None,Slow pyrolysis,Oxygen-limited,None,No,None,325,300,350,300-350,,NR,1.0 mm,1,Sieved,9.7,,9.7,,,NR,,,NR,The paper attributes Ni immobilization to oxygen-containing surface functional groups and the porous surface of biochar,Other,26.4,,26.4,biochar,Pot,Agricultural soil,Agricultural,Artificially spiked,Ni,1,50 mg /kg,5.73,,5.73,2% (40 g /pot),2,,42 days,42,60 days,60,102 days,102,Lettuce (Lactuca sativa),Lettuce,Lactuca sativa,1,Shoot (leaves),DTPA extraction followed by ICP-MS,DTPA,43%,Root 44.07 mg /kg DW; Leaf 20.23 mg /kg DW,Root ~26.4 mg /kg DW (40% reduction); Leaf ~11.1 mg /kg DW,Root reduced by 40%; Leaf ~reduced by 45%,NR,NR,NR,NR,NR,NR,No,No,No,No,"Increased soil pH, increased CEC, adsorption on porous biochar surfaces, surface complexation with oxygen-containing functional groups, enhanced sorption capacity, and reduced DTPA-extractable Ni, thereby limiting Ni uptake by lettuce.",Increased soil pH; Adsorption; Surface complexation; Increased CEC; Pore filling / surface area; Functional group binding,"Application of 2% pistachio shell biochar significantly increased soil pH, reduced DTPA-extractable Ni by 43%, decreased Ni concentrations in lettuce roots (40%) and leaves (~45%), improved dry biomass, chlorophyll, nutrient uptake, antioxidant enzyme activities, and soil enzyme activities. Biochar produced the greatest improvements in plant growth, soil biological activity, and nutritional quality among all amendments tested, although chitosan was slightly more effective in reducing Ni bioavailability",Yes,Yes,Yes,Yes,Yes,Very low,Oscar
89,2026-07-09 10:37:33,72,72-1,Bashir et al. 2019,Bashir,2019,10.1080/15226514.2019.1606781,Pakistan,1,Straw,Wheat straw,Single,Wheat straw,None,No,None,Slow pyrolysis,NR,None,No,None,500,500,500,500,,NR,<0.5 mm,0.5,Sieved,10.1,,10.1,,,NR,,,NR,"Aromatic C=C, aromatic carbonyl/carboxyl C=O, SiO2, methyl C-H, phenolic -OH, CO32-",OH; COOH; C=O; C=C; C-H; CO3; Si-O,25.3,,25.3,biochar,Pot,"Agricultural soil (wastewater-irrigated silt loam: 48% silt, 36% sand, 16% clay)",Wastewater-irrigated,Artificially spiked,Cd,1,3.9 mg /kg Cd,5.9,,5.9,2% (w/w) (~31 t /ha),2,31,2 weeks,14,6 weeks,42,8 weeks,56,Spinach (Spinacia oleracea),Spinach,Spinacia oleracea,1,Shoot (leaves),0.01 M CaCl2 extraction + AAS,CaCl2,Cd reduced by 30.95%,Shoot 2.1 mg /kg; Root 3.5 mg /kg,Shoot ~1.0 mg /kg; Root ~2.1 mg /kg,Shoot reduced by 52.6%; Root reduced by 41.1%,Shoot 0.17; Root 0.36,NR,0.48,NR,NR,NR,Yes,No,Yes,No,"Increased soil pH, adsorption to biochar surfaces, higher CEC, precipitation (CdCO3, Cd3(PO4)2), complexation with functional groups, and enhanced Cd binding through aromatic carbon surfaces and pi-pi electron coordination",Increased soil pH; Adsorption; Surface complexation; Precipitation; Cation-pi interaction; Carbonate precipitation; Increased CEC; Functional group binding,"Wheat straw biochar at 2% most effectively immobilized Cd, reduced Cd uptake by spinach, increased spinach biomass, and enhanced soil microbial biomass, demonstrating superior remediation performance over sugarcane bagasse biochar",Yes,Yes,Yes,Yes,Yes,Very low,Oscar
90,2026-07-09 10:46:10,72,72-2,Bashir et al. 2019,Bashir,2019,10.1080/15226514.2019.1606781,Pakistan,1,Crop residue,Sugarcane bagasse,Single,Sugarcane bagasse,None,No,None,Slow pyrolysis,NR,None,No,None,500,500,500,500,,NR,<0.5 mm,0.5,Sieved,9.6,,9.6,,,NR,,,NR,"Aromatic C=C, aromatic carbonyl/carboxyl C=O, SiO2, methyl C-H, phenolic -OH, CO32-",OH; COOH; C=O; C=C; C-H; CO3; Si-O,21.54,,21.54,biochar,Pot,Agricultural soil (wastewater-irrigated silt loam),Wastewater-irrigated,Artificially spiked,Cd,1,3.9 mg /kg Cd,5.9,,5.9,2% (w/w) (~31 t /ha),2,31,2 weeks,14,6 weeks,42,8 weeks,56,Spinach (Spinacia oleracea),Spinach,Spinacia oleracea,1,Shoot (leaves),0.01 M CaCl2 extraction + AAS,CaCl2,Cd reduced by 20.83%,Shoot 2.1 mg /kg; Root 3.5 mg /kg,Shoot ~1.1 mg /kg; Root ~2.3 mg /kg,Shoot reduced by 46.4%; Root reduced by 35.8%,Shoot 0.17; Root 0.34,NR,0.49,NR,NR,NR,Yes,No,Yes,No,"Increased soil pH, adsorption to biochar surfaces, higher CEC, precipitation (CdCO3, Cd3(PO4)2), complexation with functional groups, and enhanced Cd binding through aromatic carbon surfaces and pi-pi electron coordination",Increased soil pH; Adsorption; Surface complexation; Precipitation; Cation-pi interaction; Carbonate precipitation; Increased CEC; Functional group binding,"Sugarcane bagasse biochar at 2% significantly reduced Cd bioavailability and plant uptake while improving spinach growth and microbial biomass, although its remediation efficiency was lower than wheat straw biochar",Yes,Yes,Yes,Yes,Yes,Very low,Oscar
91,2026-07-08 14:39:48,75,75-1,Wang et al. 2019,Wang,2019,10.1016/j.scitotenv.2018.08.323,China,1,Straw,Maize straw,Single,Maize straw,None,No,None,Slow pyrolysis,Oxygen-limited,None,No,None,400,400,400,400,300,300.0,<0.25 mm,0.25,Sieved,8.71,0.03,8.71 +/- 0.03,,,NR,,,NR,NR,NR,,,NR,NR,Pot,Agricultural soil,Agricultural,Artificially spiked,Cd,1,"0, 2.5 and 5.0 mg Cd /kg",5.39,0.01,5.39 +/- 0.01,3% (w/w),3,,2 months (after amendment addition),60,60 days,60,~5 months,150,Lettuce (Lactuca sativa),Lettuce,Lactuca sativa,1,Shoot (leaves),0.01 M CaCl2 extraction and 0.05 M EDTA extraction,CaCl2; EDTA,CaCl2-extractable Cd reduced by 29-59%; EDTA-extractable Cd: no significant change,Root: 53.4 mg /kg; Shoot: ~60 mg /kg,Root: ~44 mg /kg; Shoot: ~44 mg /kg,Root reduced by 17.6%; Shoot reduced by 26.7%,NR,NR,Reduced from 11.7 of control to 6.55,NR,NR,NR,No,No,Yes,No,"Increased soil pH and organic matter, adsorption, ion exchange, electrostatic attraction, surface complexation, and reduced exchangeable Cd, leading to lower Cd accumulation and reduced mobility in the food chain",Increased soil pH; Adsorption; Surface complexation; Ion exchange; Electrostatic interaction; Increased SOM/DOC,"Corn straw biochar reduced exchangeable Cd in soil, decreased Cd accumulation and toxicity-associated Cd fractions in lettuce, and lowered Cd transfer through the lettuce-snail food chain, particularly under low and medium Cd contamination",Yes,Yes,Yes,Yes,Yes,Very low,Oscar
92,2026-07-08 12:13:21,76,76-1,Bashir et al. 2018,Bashir,2018,10.1016/j.chemosphere.2018.07.168,China,1,Straw,Rice straw,Single,Rice straw,None,No,None,Slow pyrolysis,Oxygen-limited,None,No,None,500,500,500,500,120,120.0,60 mesh (0.25 mm),0.25,Mesh,10.1,,10.1,49.9,,49.9,54,,54.0,"OH, Si-OH, Si-H, C-H, CaCO3, P-O, C-O, C=C, N-H",OH; C=C; C-O; C-H; CO3; Si-O; PO4; N-H,,,NR,NR,Pot,"Agricultural soil, Red soil (Ultisol; silty clay loam)",Agricultural,Naturally contaminated,Cd,1,41 mg /kg,6.21,,6.21,3% (66 Mg /ha),3,66,None (biochar mixed before sowing),0,6 weeks,42,6 weeks,42,Pak choi (Brassica rapa var. chinensis),Pak choi,Brassica rapa var. chinensis,1,Shoot (leaves),"0.01 M CaCl2, TCLP (USEPA 1311), SBET",CaCl2; TCLP; SBET,CaCl2 Cd reduced by 58.6%; TCLP Cd reduced by 42.9%; SBET Cd reduced by 30.5%,Root ~20 mg /kg; Shoot ~13 mg /kg,Root ~13.7 mg /kg; Shoot ~9.8 mg /kg,Root reduced by 31.3%; Shoot reduced by 25.0%,Shoot 0.25; Root 0.34,NR,0.67,NR,NR,NR,Yes,No,Yes,No,Increased soil pH; adsorption; surface complexation; CdCO3 precipitation; Cd-phosphate formation; ion exchange,Increased soil pH; Adsorption; Surface complexation; Ion exchange; Precipitation; Phosphate precipitation; Carbonate precipitation,"Rice straw biochar was the most effective feedstock for reducing Cd mobility, bioaccessibility, and plant uptake while improving soil quality and Chinese cabbage growth through adsorption, precipitation, and surface complexation",Yes,Yes,Yes,Yes,Yes,Very low,Oscar
93,2026-07-08 12:23:00,76,76-2,Bashir et al. 2018,Bashir,2018,10.1016/j.chemosphere.2018.07.168,China,1,Husk,Rice husk,Single,Rice husk,None,No,None,Slow pyrolysis,NR,None,No,None,500,500,500,500,120,120.0,60 mesh (0.25 mm),0.25,Mesh,9.2,,9.2,17.2,,17.2,35,,35.0,"OH, Si-OH, Si-H, C-H, CaCO3, P-O, C-O, C=C, N-H",OH; C=C; C-O; C-H; CO3; Si-O; PO4; N-H,,,NR,NR,Pot,"Agricultural soil, Red soil (Ultisol; silty clay loam)",Agricultural,Naturally contaminated,Cd,1,41 mg /kg,6.21,,6.21,3%,3,,None (biochar mixed before sowing),0,6 WEEKS,42,6 WEEKS,42,Pak choi (Brassica rapa var. chinensis),Pak choi,Brassica rapa var. chinensis,1,Shoot (leaves),"0.01 M CaCl2, TCLP (USEPA 1311), SBET",CaCl2; TCLP; SBET,CaCl2 reduced by 39.7%; TCLP reduced by 32.7%; SBET reduced by 20.6%,Root ~20 mg /kg; Shoot ~13 mg /kg,Root ~15.2 mg /kg; Shoot ~10.3 mg /kg,Root reduced by 23.9%; Shoot reduced by 21.3%,Shoot 0.27; Root 0.38,NR,0.7,NR,NR,NR,Yes,No,Yes,No,Increased soil pH; adsorption; surface complexation; CdCO3 precipitation; Cd-phosphate formation; ion exchange,Increased soil pH; Adsorption; Surface complexation; Ion exchange; Precipitation; Phosphate precipitation; Carbonate precipitation,"Rice hull biochar reduced Cd mobility and uptake and improved soil fertility, although its remediation performance was lower than rice straw biochar because of less favorable surface properties",Yes,Yes,Yes,Yes,Yes,Very low,Oscar
94,2026-07-08 12:35:14,76,76-3,Bashir et al. 2018,Bashir,2018,10.1016/j.chemosphere.2018.07.168,China,1,Crop residue,Maize stover,Single,Maize stover,None,No,None,Slow pyrolysis,NR,None,No,None,500,500,500,500,120,120.0,60 mesh (0.25 mm),0.25,Mesh,9.6,,9.6,29.4,,29.4,45,,45.0,"OH, Si-OH, Si-H, C-H, CaCO3, P-O, C-O, C=C, N-H",OH; C=C; C-O; C-H; CO3; Si-O; PO4; N-H,,,NR,NR,Pot,"Agricultural soil, Red soil (Ultisol; silty clay loam)",Agricultural,Naturally contaminated,Cd,1,41 mg /kg,6.21,,6.21,3%,3,,None (biochar mixed before sowing),0,6 weeks,42,6 weeks,42,Pak choi (Brassica rapa var. chinensis),Pak choi,Brassica rapa var. chinensis,1,Shoot (leaves),"0.01 M CaCl2, TCLP (USEPA 1311), SBET",CaCl2; TCLP; SBET,CaCl2 reduced by 46.5%; TCLP reduced by 36.7%; SBET reduced by 27.5%,Root ~20 mg /kg; Shoot ~13 mg /kg,Root ~14.7 mg /kg; Shoot ~10.0 mg /kg,Root reduced by 26.5%; Shoot reduced by 23.1%,Shoot 0.26; Root 0.37,NR,0.68,NR,NR,NR,Yes,No,Yes,No,Increased soil pH; adsorption; surface complexation; CdCO3 precipitation; Cd-phosphate formation; ion exchange,Increased soil pH; Adsorption; Surface complexation; Ion exchange; Precipitation; Phosphate precipitation; Carbonate precipitation,"Maize stover biochar effectively reduced Cd mobility and improved soil quality and plant growth, with performance intermediate between rice straw and rice hull biochars",Yes,Yes,Yes,Yes,Yes,Very low,Oscar
95,2026-07-08 11:50:25,77,77-1,Bashir et al. 2018,Bashir,2018,10.1016/j.chemosphere.2017.11.162,China,1,Straw,Rice straw,Single,rice straw (Oryza sativa L.),None,No,None,Slow pyrolysis,Oxygen-limited,None,No,None,500,500,500,500,120,120.0,10.0 mm,10,Sieved,10.1,,10.1,39.9,,39.9,54,,54.0,"OH, Si-OH, C=O, P-O, C-H, CH3, Si-H; FTIR peak shifts at 2349→2360 /cm and 2341 /cm indicate Cd complexation",OH; C=O; C-H; Si-O; PO4,,,NR,NR,Pot,"Red soil (silty clay), acidic agricultural soil",Agricultural,Artificially spiked,Cd,1,2 mg Cd /kg,5.2,,5.2,3% (w/w),3,,No separate incubation (biochar mixed with soil and seeds sown directly),0,2 months (~60 days),60,~60 days,60,Water spinach (Ipomoea aquatica),Water spinach,Ipomoea aquatica,1,Shoot (leaves),0.01 M CaCl2 extraction; TCLP (USEPA 1311),CaCl2; TCLP,CaCl2-extractable Cd reduced by 72.89%; TCLP-extractable Cd reduced by 37.66%,Root ~0.48 mg /kg; Shoot ~0.19 mg /kg,Root ~0.10 mg /kg; Shoot ~0.07 mg /kg,Root reduced by 78.95%; Shoot reduced by 61.82%,1.58,NR,0.32,NR,NR,NR,Yes,No,Yes,No,"Increased soil pH, adsorption, precipitation, complexation with oxygen- and nitrogen-containing functional groups, and Cd phosphate formation",Increased soil pH; Adsorption; Surface complexation; Precipitation; Phosphate precipitation; Functional group binding,"Rice straw biochar effectively immobilized Cd by increasing soil pH and promoting adsorption, precipitation, and complexation, thereby reducing Cd bioavailability and uptake while improving water spinach growth and alleviating oxidative stress",Yes,Yes,Yes,Yes,Yes,Very low,Oscar
96,2026-07-09 14:38:37,78,78-1,Ibrahim et al. 2017,Ibrahim,2017,10.1007/s11356-017-9605-1,China,1,Shell,Peanut shell,Single,Peanut shell,None,No,None,Slow pyrolysis,N2,None,No,None,550,550,550,550,360,360.0,NR,,NR,9.52,,9.52,6.24,,6.24,10,,10.0,"O-H, C=O (amide), C-O, phenolic C-H, C-N (amine), C-O (ether)",OH; C=O; C-O; C-H; N-H; C-N,,,NR,NR,Pot,Agricultural soil (silty loam),Agricultural,Naturally contaminated,As; Cd; Cr; Ni; Pb; Zn,6,Cr 72.6; Ni 8.27; Zn 123; As 152; Pb 6.40; Cd 0.69 mg /kg,4.45,,4.45,4% (w/w),4,,1 week,7,8 WEEKS,56,~9 weeks,63,Common bean (Phaseolus vulgaris),Common bean,Phaseolus vulgaris,1,Fruit/pods,EDTA-Na2/TEA/CaCl2 extraction + ICP-MS,CaCl2; EDTA,Cr reduced by 32%; Ni reduced by 23%; Zn reduced by 52%; As reduced by 28%; Cd reduced by 56%; Pb reduced by 31%,Reported graphically,Reported graphically,"Leaves: Cr reduced by 30%, Ni reduced by 89%, Cd reduced by 63%, Pb reduced by 62%; Fruits: Ni reduced by 67%, Cr reduced by 79%, Cd reduced by 79%, Pb reduced by 53%; Stalks: Cr reduced by 35%, Ni reduced by 86%, Cd reduced by 76%, Pb reduced by 66%",NR,NR,NR,NR,NR,NR,No,No,No,No,"Increased soil pH, adsorption on porous biochar surfaces, complexation by oxygen-containing functional groups, increased DOC, precipitation, enhanced sorption due to larger pore volume and surface area, reducing metal mobility and plant uptake",Increased soil pH; Adsorption; Surface complexation; Precipitation; Increased SOM/DOC; Pore filling / surface area; Functional group binding,"Peanut shell biochar most effectively reduced metal bioavailability and accumulation in bean tissues, increased biomass, reduced As species, and simultaneously lowered CO2 and CH4 emissions, outperforming sewage sludge biochar",Yes,Yes,Yes,Yes,Yes,Very low,Oscar
97,2026-07-09 13:44:40,79,79-1,Zheng et al. 2017,Zheng,2017,10.1007/s11356-016-8282-9,China,1,Straw,Rice straw,Single,Rice straw (Oryza sativa straw),None,No,None,Slow pyrolysis,Oxygen-limited,None,No,None,500,500,500,500,60,60.0,<2.0 mm,2,Sieved,10.7,,10.7,,,NR,,,NR,Carboxylic and phenolic functional groups on the biochar surface,OH; COOH,,,NR,NR,Field,Agricultural soil,Agricultural,Naturally contaminated,Cd,1,2.28 mg /kg,7.6,,7.6,18 t /ha,,18,2 weeks,14,2 months,60,~2.5 months,75,Lettuce (Lactuca sativa),Lettuce,Lactuca sativa,1,Shoot (leaves),DTPA extraction + ICP-MS,DTPA,DTPA-extractable Cd reduced by 25%,Shoot Cd: 0.22 ug /g FW,Shoot Cd: ~0.095 ug /g FW,Shoot Cd reduced by 57.2%; Root Cd reduced by 53%,0.04 (range reported: 0.04-0.11),NR,NR,0.42 (reduced from 0.99),NR,NR,Yes,No,No,Yes,"Increased soil pH, enhanced phosphate availability, adsorption of Cd onto biochar surfaces (particularly carboxylic and phenolic groups), precipitation/coprecipitation of Cd with phosphate and mineral phases, and possible coprecipitation with Fe/Mn oxides, collectively reducing DTPA-extractable Cd and plant uptake",Increased soil pH; Adsorption; Precipitation; Phosphate precipitation; Fe/Mn oxide binding; Functional group binding,"Rice straw biochar effectively immobilized Cd in greenhouse soil, reduced Cd accumulation in lettuce to below the Chinese food safety limit, improved lettuce yield and soil physical properties, and lowered the dietary Cd hazard quotient. Band application achieved comparable remediation while using only half the biochar, offering a more cost-effective strategy",Yes,Yes,Yes,Yes,Yes,Very low,Oscar
98,2026-07-09 13:12:33,81,81-1,Coumar et al. 2016,Coumar,2016,10.1007/s10661-015-5028-y,India,1,Crop residue,Pigeon pea stalk,Single,Pigeon pea (Cajanus cajan) stalk residue,None,No,None,Slow pyrolysis,NR,None,No,None,300,300,300,300,120,120.0,75 um,0.075,Sieved,8.45,,8.45,,,NR,,,NR,NR,NR,32.07,,32.07,biochar,Pot,Agricultural soil (sandy loam),Agricultural,Artificially spiked,Cd,1,0.20 mg /kg total Cd,7.9,,7.9,5 g /kg soil (0.5% w/w),0.5,,1 WEEK,7,60 days,60,~67 days,67,Spinach (Spinacia oleracea),Spinach,Spinacia oleracea,1,Shoot (leaves),DTPA extraction + ICP-OES,DTPA,Cd reduced by 41.1% (DTPA-extractable Cd),Leaf: 27.7 mg /kg; Root: 44.0 mg /kg,Leaf: 19.0 mg /kg; Root: 28.6 mg /kg,"Leaf Cd reduced by 25.5%; Root Cd reduced by 35.1%. Cd uptake also decreased, although differences between the two biochar rates were not significant",NR,NR,Transfer coefficient: REDUCED FROM 4.36 TO 2.81 (~35.6% reduction),NR,NR,NR,No,No,Yes,No,"Increased soil pH and organic carbon, adsorption onto biochar surfaces, formation of stable organic matter-Cd complexes, ion exchange with Ca2+, Mg2+, K+ and Na+, physical adsorption, enhanced sorption by functional groups, and precipitation of Cd under higher soil pH",Increased soil pH; Adsorption; Ion exchange; Precipitation; Increased SOM/DOC; Functional group binding,"Pigeon pea biochar increased spinach biomass, reduced DTPA-extractable Cd, decreased Cd transfer from soil to spinach, and effectively immobilized Cd in artificially contaminated sandy loam soil",Yes,Yes,Yes,Yes,Yes,Very low,Oscar
99,2026-07-08 15:10:51,83,83-1,Liu et al. 2015,Liu,2015,10.1016/j.envpol.2015.06.017,China,1,Straw,Rice straw,Single,Rice straw,None,No,None,Slash-and-char,Oxygen-limited,None,No,None,350,100,600,100-600  (during smoldering),1440,1440.0,NR,,NR,,,NR,,,NR,,,NR,NR,NR,,,NR,NR,Field,"Agricultural soil, Red loam soil",Agricultural,Naturally contaminated,Cd; Pb; Zn,3,Cd 6.0 mg /kg; Pb 1988 mg /kg; Zn 3833 mg /kg,7,,7.0,Approximately 1% (w/w) biochar in soil (generated in situ from a 1:10 rice straw:soil ratio),1,,None (soil used after one-day slash-and-char treatment),0,40 days,40,~41 days (1 day treatment + 40 days cultivation),41,Choi sum (Brassica rapa var. parachinensis); Mustard greens (Brassica juncea var. crispifolia); Cabbage (Brassica oleracea); Pak choi (Brassica rapa var. chinensis),Choi sum; Mustard greens; Cabbage; Pak choi,Brassica rapa var. parachinensis; Brassica juncea var. crispifolia; Brassica oleracea; Brassica rapa var. chinensis,4,Shoot (leaves),DTPA,DTPA,"DTPA-extractable Cd, Cu, Pb, and Zn were significantly reduced (P < 0.01) after slash-and-char treatment; exact percentages were not reported",Reported graphically,Reported graphically,Heavy metal concentrations in edible parts of all four vegetables were significantly reduced (P < 0.05) after treatment; exact percentages were not reported,NR,NR,NR,NR,NR,NR,No,No,No,No,"adsorption, increased soil pH, increased available phosphorus, enhanced cation retention, and reduced DTPA-extractable metal fractions",Increased soil pH; Adsorption,"Slash-and-char using rice straw biochar effectively reduced the bioavailability of Cd, Pb, and Zn, increased vegetable productivity, and lowered heavy metal concentrations in edible tissues, enabling safe vegetable production on highly contaminated farmland",Yes,Yes,Yes,No,Yes,Low,Oscar
100,2026-07-09 12:31:05,84,84-1,Kloss et al. 2015,Kloss,2015,10.1007/s11356-014-3685-y,Austria,1,Straw,Wheat straw,Single,Wheat straw (Triticum aestivum),None,No,None,Slow pyrolysis,NR,None,No,None,525,525,525,525,60,60.0,NR,,NR,9.7,,9.7,12.3,,12.3,28.1,,28.1,NR,NR,14.85,,14.85,biochar,Pot,Agricultural soil,Agricultural,Naturally contaminated,Cd; Cu; Pb,3,"Al, Mn, As, B, Mo, Se",5.4,,5.4,3% (w/w),3,,Immediate mixing (no pre-incubation),0,~83 days,83,15 months (soil monitoring); plant assessment after first crop,450,White mustard (Sinapis alba),White mustard,Sinapis alba,1,Shoot (leaves),1 M NH4NO3 extraction + ICP-MS,NH4NO3,Cd reduced by 67%; Pb reduced by 64%,Reported graphically,Reported graphically,Cd reduced by 38%; Mn reduced by 56%,NR,NR,NR,NR,NR,NR,No,No,No,No,"Increased soil pH, enhanced cation sorption, increased CEC, adsorption of Cd and Pb, reduced NH4NO3-extractable metal fractions, and decreased plant uptake of cationic trace elements",Increased soil pH; Adsorption; Increased CEC,"Wheat straw biochar reduced Cd uptake by mustard but increased the mobility of several anionic trace elements (As, Mo, Se) because of its high ash and salt content",Yes,Yes,Yes,Yes,Yes,Very low,Oscar
